Confirmed,Date,Deaths,Location,Recovered,_id
106,2020-01-27T18:30:00.000Z,0,Anhui,0,621c51e5c4f24f87f62d5508
95,2020-01-27T18:30:00.000Z,0,Shandong,0,621c51e5c4f24f87f62d5509
91,2020-01-27T18:30:00.000Z,1,Beijing,4,621c51e5c4f24f87f62d550a
90,2020-01-27T18:30:00.000Z,0,Sichuan,0,621c51e5c4f24f87f62d550b
80,2020-01-27T18:30:00.000Z,0,Fujian,0,621c51e5c4f24f87f62d550c
70,2020-01-27T18:30:00.000Z,0,Jiangsu,1,621c51e5c4f24f87f62d550d
66,2020-01-27T18:30:00.000Z,1,Shanghai,4,621c51e5c4f24f87f62d550e
51,2020-01-27T18:30:00.000Z,0,Guangxi,2,621c51e5c4f24f87f62d550f
46,2020-01-27T18:30:00.000Z,0,Shaanxi,0,621c51e5c4f24f87f62d5510
44,2020-01-27T18:30:00.000Z,0,Yunnan,0,621c51e5c4f24f87f62d5511
40,2020-01-27T18:30:00.000Z,1,Hainan,0,621c51e5c4f24f87f62d5512
34,2020-01-27T18:30:00.000Z,0,Liaoning,0,621c51e5c4f24f87f62d5513
33,2020-01-27T18:30:00.000Z,1,Hebei,0,621c51e5c4f24f87f62d5514
33,2020-01-27T18:30:00.000Z,1,Heilongjiang,0,621c51e5c4f24f87f62d5515
27,2020-01-27T18:30:00.000Z,0,Shanxi,0,621c51e5c4f24f87f62d5516
24,2020-01-27T18:30:00.000Z,0,Tianjin,0,621c51e5c4f24f87f62d5517
19,2020-01-27T18:30:00.000Z,0,Gansu,0,621c51e5c4f24f87f62d5518
15,2020-01-27T18:30:00.000Z,0,Inner Mongolia,0,621c51e5c4f24f87f62d5519
11,2020-01-27T18:30:00.000Z,0,Ningxia,0,621c51e5c4f24f87f62d551a
10,2020-01-27T18:30:00.000Z,0,Xinjiang,0,621c51e5c4f24f87f62d551b
9,2020-01-27T18:30:00.000Z,0,Guizhou,0,621c51e5c4f24f87f62d551c
8,2020-01-27T18:30:00.000Z,0,Jilin,0,621c51e5c4f24f87f62d551d
6,2020-01-27T18:30:00.000Z,0,Qinghai,0,621c51e5c4f24f87f62d5521
3554,2020-01-28T18:30:00.000Z,125,Hubei,88,621c51e5c4f24f87f62d5535
296,2020-01-28T18:30:00.000Z,0,Zhejiang,3,621c51e5c4f24f87f62d5536
277,2020-01-28T18:30:00.000Z,0,Guangdong,5,621c51e5c4f24f87f62d5537
221,2020-01-28T18:30:00.000Z,0,Hunan,0,621c51e5c4f24f87f62d5538
206,2020-01-28T18:30:00.000Z,2,Henan,1,621c51e5c4f24f87f62d5539
152,2020-01-28T18:30:00.000Z,0,Anhui,2,621c51e5c4f24f87f62d553a
147,2020-01-28T18:30:00.000Z,0,Chongqing,1,621c51e5c4f24f87f62d553b
130,2020-01-28T18:30:00.000Z,0,Shandong,1,621c51e5c4f24f87f62d553c
111,2020-01-28T18:30:00.000Z,1,Beijing,4,621c51e5c4f24f87f62d553d
109,2020-01-28T18:30:00.000Z,0,Jiangxi,3,621c51e5c4f24f87f62d553e
108,2020-01-28T18:30:00.000Z,1,Sichuan,1,621c51e5c4f24f87f62d553f
99,2020-01-28T18:30:00.000Z,0,Jiangsu,1,621c51e5c4f24f87f62d5540
96,2020-01-28T18:30:00.000Z,1,Shanghai,5,621c51e5c4f24f87f62d5541
84,2020-01-28T18:30:00.000Z,0,Fujian,0,621c51e5c4f24f87f62d5542
58,2020-01-28T18:30:00.000Z,0,Guangxi,2,621c51e5c4f24f87f62d5543
56,2020-01-28T18:30:00.000Z,0,Shaanxi,0,621c51e5c4f24f87f62d5544
55,2020-01-28T18:30:00.000Z,0,Yunnan,0,621c51e5c4f24f87f62d5545
48,2020-01-28T18:30:00.000Z,1,Hebei,0,621c51e5c4f24f87f62d5546
43,2020-01-28T18:30:00.000Z,1,Hainan,0,621c51e5c4f24f87f62d5547
39,2020-01-28T18:30:00.000Z,0,Liaoning,1,621c51e5c4f24f87f62d5548
38,2020-01-28T18:30:00.000Z,1,Heilongjiang,0,621c51e5c4f24f87f62d5549
27,2020-01-28T18:30:00.000Z,0,Tianjin,0,621c51e5c4f24f87f62d554a
27,2020-01-28T18:30:00.000Z,0,Shanxi,1,621c51e5c4f24f87f62d554b
24,2020-01-28T18:30:00.000Z,0,Gansu,0,621c51e5c4f24f87f62d554c
16,2020-01-28T18:30:00.000Z,0,Inner Mongolia,0,621c51e5c4f24f87f62d554d
13,2020-01-28T18:30:00.000Z,0,Xinjiang,0,621c51e5c4f24f87f62d554e
12,2020-01-28T18:30:00.000Z,0,Ningxia,0,621c51e5c4f24f87f62d554f
9,2020-01-28T18:30:00.000Z,0,Guizhou,1,621c51e5c4f24f87f62d5551
9,2020-01-28T18:30:00.000Z,0,Jilin,0,621c51e5c4f24f87f62d5552
6,2020-01-28T18:30:00.000Z,0,Qinghai,0,621c51e5c4f24f87f62d5555
4903,2020-01-29T18:30:00.000Z,162,Hubei,90,621c51e5c4f24f87f62d556b
428,2020-01-29T18:30:00.000Z,0,Zhejiang,4,621c51e5c4f24f87f62d556c
354,2020-01-29T18:30:00.000Z,0,Guangdong,10,621c51e5c4f24f87f62d556d
278,2020-01-29T18:30:00.000Z,2,Henan,2,621c51e5c4f24f87f62d556e
277,2020-01-29T18:30:00.000Z,0,Hunan,2,621c51e5c4f24f87f62d556f
200,2020-01-29T18:30:00.000Z,0,Anhui,2,621c51e5c4f24f87f62d5570
182,2020-01-29T18:30:00.000Z,0,Chongqing,1,621c51e5c4f24f87f62d5571
162,2020-01-29T18:30:00.000Z,0,Jiangxi,5,621c51e5c4f24f87f62d5572
158,2020-01-29T18:30:00.000Z,0,Shandong,1,621c51e5c4f24f87f62d5573
